doc_id,cem_code,afsc_title,afsc_codes,afsc_families,skill_digits,skill_labels
aircrew-operations-career-field-9ac1505da6,1A100*,AIRCREW OPERATIONS CAREER FIELD,1A192*;1A172*;1A152*;1A132*;1A112,1A1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;senior_enlisted_leader
mobility-force-aviator-27bd37197c,1A100*,MOBILITY FORCE AVIATOR,1A193*;1A173*;1A153*;1A133*;1A113,1A1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;senior_enlisted_leader
special-mission-aviator-ca90ad358d,,SPECIAL MISSION AVIATOR,,,,
e-mc-130j-acd14fd33b,1A100,E MC-130J,1A174;1A154;1A134;1A178*;1A158*;1A138*;1A890,1A1;1A8,3;5;7;9,apprentice;journeyman;craftsman;superintendent
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,,"SEL AIRBORNE INTELLIGENCE, SURVEILLANCE AND RECONNAISSANCE",1A871*;1A851*;1A831*;1A811,1A8,1;3;5;7,helper;apprentice;journeyman;craftsman
airborne-cryptologic-language-analyst-54981e8af1,,AIRBORNE CRYPTOLOGIC LANGUAGE ANALYST,1A872;1A852;1A832;1A812,1A8,1;3;5;7,helper;apprentice;journeyman;craftsman
airborne-intelligence-surveillance-and-reconnaissance-isr-operator-03280ddbe3,,"AIRBORNE INTELLIGENCE, SURVEILLANCE, AND RECONNAISSANCE (ISR) OPERATOR",,,,
cyber-warfare-career-field-1c3bd0a511,1B000,CYBER WARFARE CAREER FIELD,1B491,1B4,9,superintendent
cyber-warfare-operations-80e7129793,,CYBER WARFARE OPERATIONS,1B491;1B471;1B451;1B431;1B411,1B4,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
cyber-warfare-operations-d403b558c0,,CYBER WARFARE OPERATIONS,,,,
command-and-control-systems-operations-career-field-71daf0b956,1C000,COMMAND AND CONTROL SYSTEMS OPERATIONS CAREER FIELD,1C092;1C072;1C052;1C032;1C012,1C0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
aviation-resource-management-63fed5cb4e,1C100,AVIATION RESOURCE MANAGEMENT,1C191;1C171;1C151;1C131;1C111,1C1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
air-traffic-control-64be7e7ef1,1C300,AIR TRAFFIC CONTROL,1C391;1C371;1C351;1C331;1C311,1C3,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
all-domain-command-and-control-operations-8e81736a84,1C500,ALL-DOMAIN COMMAND AND CONTROL OPERATIONS,1C591;1C571;1C551;1C531;1C511,1C5,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
battle-management-operations-529fa2b2a9,1C600,BATTLE MANAGEMENT OPERATIONS,1C691;1C671;1C651;1C631;1C611,1C6,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
space-systems-operations-109ad67b73,1C700,SPACE SYSTEMS OPERATIONS,1C791;1C771;1C751;1C731;1C711,1C7,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
airfield-management-2662fc5d30,1C800,AIRFIELD MANAGEMENT,1C893,1C8,9,superintendent
radar-airfield-weather-systems-cf7f5c8c3a,,"RADAR, AIRFIELD & WEATHER SYSTEMS",1C893;1C873;1C853;1C833;1C813,1C8,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
radar-airfield-weather-systems-3f1c8127d3,,"RADAR, AIRFIELD & WEATHER SYSTEMS",,,,
warfighter-communications-ead258e254,1D700,WARFIGHTER COMMUNICATIONS,1D791,1D7,9,superintendent
warfighter-communications-00691aa8a4,,WARFIGHTER COMMUNICATIONS,1D771;1D751;1D731;1D711,1D7,1;3;5;7,helper;apprentice;journeyman;craftsman
information-technology-it-systems-1114e89745,,INFORMATION TECHNOLOGY (IT) SYSTEMS,1D772;1D752;1D732;1D712,1D7,1;3;5;7,helper;apprentice;journeyman;craftsman
radio-frequency-transmissions-and-electromagnetic-activities-5e0928c6f4,,RADIO FREQUENCY TRANSMISSIONS AND ELECTROMAGNETIC ACTIVITIES,1D773;1D753;1D733;1D713,1D7,1;3;5;7,helper;apprentice;journeyman;craftsman
cable-and-antenna-66299076fb,,CABLE AND ANTENNA,1D774;1D754;1D734;1D714,1D7,1;3;5;7,helper;apprentice;journeyman;craftsman
data-engineering-e6e77ec5f3,,DATA ENGINEERING,1D775;1D755;1D735;1D715,1D7,1;3;5;7,helper;apprentice;journeyman;craftsman
cybersecurity-5688071d7a,1H000,CYBERSECURITY,1H091;1H071;1H051;1H031;1H011,1H0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
aerospace-physiology-51ac164fe2,,AEROSPACE PHYSIOLOGY,,,,
intelligence-dc84aad9e4,,INTELLIGENCE,1N071;1N051;1N031;1N011,1N0,1;3;5;7,helper;apprentice;journeyman;craftsman
all-source-intelligence-analyst-c728656a40,,ALL SOURCE INTELLIGENCE ANALYST,1N092,1N0,9,superintendent
intelligence-superintendent-db0a07c697,1N000,INTELLIGENCE SUPERINTENDENT,1N171*;1N151*;1N131*;1N111*,1N1,1;3;5;7,helper;apprentice;journeyman;craftsman
geospatial-intelligence-39dedb51c8,,GEOSPATIAL INTELLIGENCE,,,,
cem-1n000-97aab1e8c4,,CEM 1N000,1N292,1N2,9,superintendent
cryptologic-intelligence-superintendent-d588b74537,,CRYPTOLOGIC INTELLIGENCE SUPERINTENDENT,1N271*;1N251*;1N231*;1N211*,1N2,1;3;5;7,helper;apprentice;journeyman;craftsman
signals-intelligence-ae6e8b763c,,SIGNALS INTELLIGENCE,1N371*;1N351*;1N331*;1N311,1N3,1;3;5;7,helper;apprentice;journeyman;craftsman
cryptologic-language-analyst-1308ecb2ad,,CRYPTOLOGIC LANGUAGE ANALYST,1N471*;1N451*;1N431*;1N411*,1N4,1;3;5;7,helper;apprentice;journeyman;craftsman
cyber-intelligence-152bf55c18,,CYBER INTELLIGENCE,1N472;1N452;1N432;1N412,1N4,1;3;5;7,helper;apprentice;journeyman;craftsman
cryptologic-analyst-reporter-5e114e22f7,,CRYPTOLOGIC ANALYST & REPORTER,,,,
cem-1n000-6f3085968f,,CEM 1N000,1N771;1N731;1N711,1N7,1;3;7,helper;apprentice;craftsman
human-intelligence-specialist-c9d4b34722,1N000,HUMAN INTELLIGENCE SPECIALIST,1N771;1N871;1N851;1N831;1N811,1N7;1N8,1;3;5;7,helper;apprentice;journeyman;craftsman
targeting-analyst-e2374f1654,,TARGETING ANALYST,,,,
aircrew-flight-equipment-career-field-252ce11e8e,1P000,AIRCREW FLIGHT EQUIPMENT CAREER FIELD,1P091;1P071;1P051;1P031;1P011,1P0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
aircrew-flight-equipment-e0d9adbb3b,,AIRCREW FLIGHT EQUIPMENT,,,,
safety-career-field-1d56c78216,1S000,SAFETY CAREER FIELD,1S091;1S071;1S051;1S031,1S0,3;5;7;9,apprentice;journeyman;craftsman;superintendent
special-warfare-enabler-career-field-96e2679691,1T000,SPECIAL WARFARE ENABLER CAREER FIELD,1T091;1T071;1T051;1T031;1T011,1T0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
survival-evasion-resistance-escape-sere-specialist-6c8d041f65,,"SURVIVAL, EVASION, RESISTANCE, ESCAPE (SERE) SPECIALIST",,,,
aircrew-operations-career-field-820d053fe6,,AIRCREW OPERATIONS CAREER FIELD,1U191;1U171;1U151;1U131;1U111,1U1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
remotely-piloted-aircraft-rpa-pilot-d9908974ff,,REMOTELY PILOTED AIRCRAFT (RPA) PILOT,,,,
weather-career-field-9e63292105,1W000,WEATHER CAREER FIELD,1W091;1W071;1W051;1W031;1W011,1W0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
weather-70c89b5f1b,,WEATHER,,,,
special-warfare-career-field-8ee57d2913,1Z100,SPECIAL WARFARE CAREER FIELD,1Z191;1Z171;1Z151;1Z131;1Z111,1Z1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
pararescue-323d661b1f,1Z200,PARARESCUE,1Z291;1Z271;1Z251;1Z231;1Z211,1Z2,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
combat-control-f6728fb2c6,1Z300,COMBAT CONTROL,1Z391;1Z371;1Z351;1Z331;1Z311,1Z3,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
tactical-air-control-party-a1a5d2972d,1Z400,TACTICAL AIR CONTROL PARTY,1Z491;1Z471;1Z451;1Z431;1Z411,1Z4,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
special-reconnaissance-52555c3f30,,SPECIAL RECONNAISSANCE,,,,
aerospace-maintenance-career-field-545e7a6253,,AEROSPACE MAINTENANCE CAREER FIELD,2A090,2A0,9,superintendent
avionics-87952dde08,,AVIONICS,2A090;2A071;2A051;2A031;2A011,2A0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
avionics-test-station-components-and-electronic-warfare-systems-52f7ff4057,,"AVIONICS TEST STATION, COMPONENTS, AND ELECTRONIC WARFARE SYSTEMS",2A251;2A231;2A211,2A2,1;3;5,helper;apprentice;journeyman
mhu-139-electrical-environmental-and-avionics-technician-c15fd4eef9,2A300,"MHU-139 ELECTRICAL, ENVIRONMENTAL AND AVIONICS TECHNICIAN",2A390,2A3,9,superintendent
fighter-aircraft-maintenance-aba9cc624c,,FIGHTER AIRCRAFT MAINTENANCE,2A390;2A373;2A353*;2A333*;2A313*,2A3,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
tactical-aircraft-maintenance-1ae1eba20a,,TACTICAL AIRCRAFT MAINTENANCE,,,,
e-a-10-u-2-67a0301bbd,,E A-10/U-2,2A374;2A354*;2A334*;2A314*,2A3,1;3;5;7,helper;apprentice;journeyman;craftsman
fighter-aircraft-integrated-avionics-d1b0c2de5a,,FIGHTER AIRCRAFT INTEGRATED AVIONICS,2A375;2A355*;2A335*;2A315*,2A3,1;3;5;7,helper;apprentice;journeyman;craftsman
advanced-fighter-aircraft-integrated-avionics-8bd0f39cb2,,ADVANCED FIGHTER AIRCRAFT INTEGRATED AVIONICS,2A377;2A357*;2A337*;2A317*,2A3,1;3;5;7,helper;apprentice;journeyman;craftsman
tactical-aircraft-maintenance-716f26ba89,2A500,TACTICAL AIRCRAFT MAINTENANCE,2A590,2A5,9,superintendent
airlift-special-mission-aircraft-maintenance-superintendent-d4ce73f77b,,AIRLIFT/SPECIAL MISSION AIRCRAFT MAINTENANCE SUPERINTENDENT,2A590;2A571;2A551*;2A531*;2A511*,2A5,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
airlift-special-mission-aircraft-maintenance-4f5bf9d7a2,,AIRLIFT/SPECIAL MISSION AIRCRAFT MAINTENANCE,,,,
m-mq-1-9-r-rq-4-a232f31990,,M MQ-1/9 R RQ-4,2A572;2A552*;2A532*;2A512*,2A5,1;3;5;7,helper;apprentice;journeyman;craftsman
helicopter-tiltrotor-aircraft-maintenance-854ba5e034,,HELICOPTER/TILTROTOR AIRCRAFT MAINTENANCE,,,,
e-mhu-139-f10219e53b,,E MHU-139,2A574;2A554*;2A534*;2A514*,2A5,1;3;5;7,helper;apprentice;journeyman;craftsman
refuel-bomber-aircraft-maintenance-d7fcfc3a41,,REFUEL/BOMBER AIRCRAFT MAINTENANCE,,,,
aircraft-systems-c214838e4d,,AIRCRAFT SYSTEMS,2A691;2A671*;2A651*;2A631*;2A611*,2A6,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
aerospace-propulsion-8a9e5bfaa1,,AEROSPACE PROPULSION,,,,
tf33-cf6-f103-f108-f117-tfe-731-tf39-ac17545b6c,,"TF33, CF6, F103, F108, F117, TFE-731, TF39,",2A692;2A672;2A652;2A632;2A612,2A6,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
aerospace-ground-equipment-4d1dcea3af,,AEROSPACE GROUND EQUIPMENT,2A690,2A6,9,superintendent
aircraft-accessories-f90f9bedc1,,AIRCRAFT ACCESSORIES,2A690;2A673;2A653;2A633;2A613,2A6,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
aircrew-egress-systems-feb3d8b00e,,AIRCREW EGRESS SYSTEMS,2A674;2A654;2A634;2A614,2A6,1;3;5;7,helper;apprentice;journeyman;craftsman
aircraft-fuel-systems-061ecdac5b,,AIRCRAFT FUEL SYSTEMS,2A675;2A655;2A635;2A615,2A6,1;3;5;7,helper;apprentice;journeyman;craftsman
aircraft-hydraulic-systems-dc5805a472,,AIRCRAFT HYDRAULIC SYSTEMS,2A676;2A656;2A636;2A616,2A6,1;3;5;7,helper;apprentice;journeyman;craftsman
aircraft-electrical-and-environmental-systems-7f79721bbe,,AIRCRAFT ELECTRICAL AND ENVIRONMENTAL SYSTEMS,2A790,2A7,9,superintendent
aircraft-fabrication-f5c7506295,,AIRCRAFT FABRICATION,2A790;2A771;2A751;2A731;2A711,2A7,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
aircraft-metals-technology-8f5e321b16,,AIRCRAFT METALS TECHNOLOGY,2A772;2A752;2A732;2A712,2A7,1;3;5;7,helper;apprentice;journeyman;craftsman
nondestructive-inspection-82eb984d27,,NONDESTRUCTIVE INSPECTION,2A773;2A753;2A733,2A7,3;5;7,apprentice;journeyman;craftsman
aircraft-structural-maintenance-3582024dc8,,AIRCRAFT STRUCTURAL MAINTENANCE,2A974*;2A954*;2A934*;2A914*,2A9,1;3;5;7,helper;apprentice;journeyman;craftsman
heavy-aircraft-integrated-avionics-33838ec450,,HEAVY AIRCRAFT INTEGRATED AVIONICS,,,,
fuels-career-field-8d3efa7a68,2F000,FUELS CAREER FIELD,2F091;2F071;2F051;2F031,2F0,3;5;7;9,apprentice;journeyman;craftsman;superintendent
logistics-plans-career-field-7ea2164ac3,2G000,LOGISTICS PLANS CAREER FIELD,2G091;2G071;2G051;2G031;2G011,2G0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
logistics-plans-d7e55415d3,,LOGISTICS PLANS,,,,
missile-and-space-systems-maintenance-career-field-9115a43403,2M000,MISSILE AND SPACE SYSTEMS MAINTENANCE CAREER FIELD,2M090,2M0,9,superintendent
missile-and-space-systems-maintenance-92c4db05f4,,MISSILE AND SPACE SYSTEMS MAINTENANCE,2M090;2M071;2M051*;2M031*;2M011*,2M0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
missile-and-space-systems-electronic-maintenance-b169edec36,,MISSILE AND SPACE SYSTEMS ELECTRONIC MAINTENANCE,2M072;2M052;2M032;2M012,2M0,1;3;5;7,helper;apprentice;journeyman;craftsman
missile-and-space-systems-maintenance-5db23988b2,,MISSILE AND SPACE SYSTEMS MAINTENANCE,2M073;2M053;2M033;2M013,2M0,1;3;5;7,helper;apprentice;journeyman;craftsman
missile-and-space-facilities-1da398d5f0,,MISSILE AND SPACE FACILITIES,,,,
precision-measurement-equipment-laboratory-career-field-4cf9afead8,2P000,PRECISION MEASUREMENT EQUIPMENT LABORATORY CAREER FIELD,2P091;2P071;2P051;2P031;2P011,2P0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
precision-measurement-equipment-laboratory-da23bbf98e,,PRECISION MEASUREMENT EQUIPMENT LABORATORY,,,,
maintenance-management-career-field-11f4704af2,2R200,MAINTENANCE MANAGEMENT CAREER FIELD,2R291;2R271;2R251;2R231;2R211,2R2,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
